FULL ADDRESS,PURCHASE DATE,PURCHASE PRICE,SOLD DATE,SOLD PRICE,PRICE CHANGE,PERIOD,DAILY PRICE CHANGE,PRICE CHANGE %,PURCHASE DATE SU,PURCHASE PRICE SU,SOLD DATE SU
"1235 PARK AVENUE, 11B",2007-01-11,1725000,2007-06-18,2138325,413325,158,2615.981012658228,23.96086956521739,-0.2780778015537863,0.41676344138235244,-1.621430844530371
"25 CENTRAL PARK WEST, 17R",2009-06-12,3360225,2013-07-30,7300000,3939775,1509,2610.85155732273,117.24735694782345,0.5149618442682169,2.00125168994655,0.009575166899523398
"155 FRANKLIN STREET, 2N",2013-10-02,5870000,2017-11-10,9750000,3880000,1500,2586.6666666666665,66.09880749574106,1.927704044583065,4.43315494120568,1.1514253915532184
"1641 3 AVENUE, 8H",2003-02-20,361998,2003-05-29,615000,253002,98,2581.6530612244896,69.89044138365405,-1.55430581595137,-0.903948174309371,-2.702684158284925
"211 EAST 13TH   STREET, 3K",2014-06-17,1743207,2015-01-09,2275000,531793,206,2581.519417475728,30.506589292034736,2.1594189127847376,0.43440552583043046,0.3950591302097222
"721 5 AVENUE, 61A/B",2010-01-29,5941967,2013-11-20,9500000,3558033,1391,2557.8957584471605,59.8797165988973,0.722427482076691,4.502888993574264,0.09207457571401671
"2211 BROADWAY, 8L",2010-07-27,3865277,2013-09-19,6800000,2934723,1150,2551.933043478261,75.92529591022843,0.8831908983871538,2.490633248394987,0.04680941335562215
"2211 BROADWAY, 11C",2010-09-03,3851021,2011-11-09,4950000,1098979,432,2543.9328703703704,28.537341136285676,0.9173194448664699,2.476819574758924,-0.44964720605902786
"225 5 AVENUE, 7J",2007-02-07,3036930,2007-12-12,3820000,783070,308,2542.435064935065,25.784920956360537,-0.253828571160588,1.687987687549594,-1.492206106829793
"141 WEST 24 STREET, RES-7",2003-09-02,1530939,2005-07-07,3239750,1708811,674,2535.327893175074,111.61849035134645,-1.3800706049780194,0.2287236462443031,-2.140520045124218
"123 WASHINGTON STREET, 41A",2013-09-19,1380672,2014-05-16,1985587,604915,239,2531.0251046025105,43.813085222268576,1.9160284892085622,0.08311903792006865,0.22129931341459472
"140 EAST 63RD STREET, 6D",2007-12-04,2031408,2008-04-18,2375000,343592,136,2526.4117647058824,16.91398281389066,0.015607322097170707,0.7136644031864214,-1.3987554490576235
"7 HUBERT STREET, 11B",2004-09-10,3446776,2008-02-19,6570000,3123224,1257,2484.66507557677,90.61290899089468,-1.0441738580500135,2.085117238969761,-1.4418303616244827
"15 UNION SQUARE WEST, 18",2011-11-17,5243987,2014-06-24,7600000,2356013,950,2480.013684210526,44.92789551156401,1.3124920883111826,3.8265654859634837,0.2497725607045526
"7 HUBERT STREET, M9C",2004-11-19,2739092,2007-05-01,4950000,2210908,893,2475.820828667413,80.71682148682848,-0.9813054829565365,1.3993908210780912,-1.6564748411949344
"210 LAFAYETTE STREET, 4C",2005-12-19,992793,2006-04-12,1275000,282207,114,2475.5,28.425563032777223,-0.6265482235004876,-0.29272509200996083,-1.9368268145114427
"79 EAST 2ND   STREET, R2",2009-07-16,2650000,2011-03-14,4150000,1500000,606,2475.2475247524753,56.60377358490566,0.5454979121707628,1.3130631126336376,-0.6248671893818455
"230 WEST 56 STREET, 49E",2003-06-17,926608,2003-11-13,1295000,368392,149,2472.4295302013425,39.75704936715418,-1.4492258175808441,-0.3568565447037622,-2.5800301699589525
"200 CHAMBERS STREET, 23C",2007-05-21,2072138,2008-01-10,2650000,577862,234,2469.4957264957266,27.88723530961741,-0.1613222478087575,0.753130657900005,-1.4710336921782858
"161 HUDSON STREET, 2A",2013-07-03,3025000,2015-01-12,4400000,1375000,558,2464.15770609319,45.45454545454545,1.8459751569615448,1.6764278442219964,0.3972493800012574
"404 EAST 76 STREET, 30C",2003-12-09,1410276,2005-02-03,2450000,1039724,422,2463.8009478672984,73.72485953104216,-1.2920548798471516,0.11180450329058005,-2.2529528677563597
"30 LITTLE WEST STREET, PH2F",2014-05-29,3032505,2015-10-26,4300000,1267495,515,2461.1553398058254,41.79696323666408,2.1423546395450797,1.6836999837168516,0.6067832767247936
"160 WOOSTER STREET, PH-B",2005-07-28,5040337,2007-02-01,6400000,1359663,553,2458.7034358047017,26.975636748098392,-0.7558774522642118,3.629234212395566,-1.721452251677146
"300 EAST 55 STREET, 17B",2005-03-02,1440823,2005-11-15,2075000,634177,258,2458.0503875968993,44.01491369862919,-0.888799159604706,0.14140370983945896,-2.0448791375605135
"45 EAST 25TH   STREET, PH-C",2011-07-27,1425000,2013-12-17,3550000,2125000,874,2431.350114416476,149.12280701754386,1.2110045685174269,0.12607165611166538,0.1117868238378337
"250 WEST STREET, J",2013-08-19,1501918,2014-09-15,2450000,948082,392,2418.576530612245,63.12475115152758,1.8881867802385937,0.2006030919098344,0.3103694716036937
"220, 30G",2003-07-15,1310742,2003-10-30,1565000,254258,107,2376.2429906542056,19.398020357934666,-1.4240784675434532,0.015358782773471488,-2.5902513356527836
"16 WEST 21ST   STREET, PH-A",2012-03-05,4633037,2015-06-25,7500000,2866963,1207,2375.2800331400167,61.88085698430641,1.4103871295281682,3.2345716652597294,0.5169830352718495
"52 LAIGHT STREET, R6",2013-10-03,3054750,2015-11-19,4900000,1845250,777,2374.839124839125,60.40592519846141,1.9286021642272575,1.7052547795946729,0.6243052750570753
"103-05 GREENE STREET, 6B",2003-07-23,1934675,2004-03-18,2500000,565325,239,2365.3765690376567,29.220670138395338,-1.4168935103899132,0.6199327749711235,-2.488039678714473
"250 WEST STREET, 3E",2013-04-17,2830735,2014-02-28,3579000,748265,317,2360.457413249211,26.4335941018852,1.7768199443587203,1.488190378669963,0.16508290209852405
"250 WEST STREET, 11B",2014-03-04,5600375,2016-05-17,7500000,1899625,805,2359.782608695652,33.91960359797335,2.065116350144522,4.171895699193649,0.7557202625491886
"241 5 AVENUE, 5A",2013-12-18,824782,2014-05-27,1200000,375218,160,2345.1125,45.492990875164594,1.9968592571858899,-0.4555231504603388,0.22933022931689054
