SALE DATE,BLOCK,LOT,YEAR BUILT,ZIP CODE,SALE PRICE
2015-11-03,801,30,1905,10001,1400000
2015-12-16,801,30,1905,10001,1375000
2015-06-30,802,17,1910,10001,3800000
2015-11-06,802,17,1910,10001,2400000
2015-01-06,803,14,1910,10001,2100000
2015-02-09,803,65,1910,10001,30500000
2015-02-09,803,65,1910,10001,30500000
2015-09-18,701,1102,2013,10001,14672125
2015-09-03,764,1016,1930,10011,1732000
2015-07-31,764,1117,1930,10011,890000
2015-05-07,690,1003,2007,10011,3650000
2015-05-21,690,1004,2007,10011,4050000
2015-01-15,691,1003,2007,10011,950000
2015-09-11,691,1029,2007,10011,1995000
2015-12-03,691,1107,2013,10011,12371737
2015-09-18,691,1109,2013,10011,2179055
2015-09-24,691,1111,2013,10011,4582125
2015-10-15,691,1114,2013,10011,3767525
2015-10-07,691,1115,2013,10011,2280880
2015-09-25,691,1116,2013,10011,3197305
2015-09-08,691,1117,2013,10011,4724680
2015-09-22,691,1118,2013,10011,6900000
2015-11-18,691,1119,2013,10011,3981357
2015-10-02,691,1120,2013,10011,2352157
2015-10-02,691,1121,2013,10011,3350042
2015-12-18,691,1123,2013,10011,7484137
2015-12-07,691,1124,2013,10011,4215555
2015-11-10,691,1125,2013,10011,2433617
2015-11-13,691,1126,2013,10011,3502780
2015-11-02,691,1127,2013,10011,5447637
2015-11-30,691,1131,2013,10011,3706430
2015-12-15,691,1132,2013,10011,5702200
2015-12-15,691,1135,2013,10011,2688180
2015-08-24,692,1008,1910,10011,7200000
2015-08-07,694,1025,0,10011,3150000
2015-05-07,695,1311,2005,10011,970000
2015-08-17,695,1316,2005,10011,1040000
2015-05-14,695,1318,2005,10011,875000
2015-02-05,695,1327,2005,10011,945000
2015-07-21,695,1340,2005,10011,750000
2015-06-24,695,1344,2005,10011,999000
2015-09-03,695,1363,2005,10011,750000
2015-10-23,695,1379,2005,10011,976000
2015-12-01,695,1380,2005,10011,755000
2015-10-01,695,1399,2005,10011,960000
2015-03-12,695,1401,2005,10011,790000
2015-02-04,695,1457,2005,10011,950000
2015-02-18,695,1475,2005,10011,930000
2015-04-21,695,1483,2005,10011,1005000
2015-04-17,695,1495,2005,10011,920000
2015-08-28,695,1496,2005,10011,701000
2015-09-15,695,1501,2005,10011,995000
2015-11-24,695,1520,2005,10011,1925000
2015-03-05,695,1524,2005,10011,880000
2015-06-08,695,1547,2005,10011,1025000
2015-09-21,695,1549,2005,10011,950000
2015-10-07,695,1556,2005,10011,940000
2015-06-29,695,1572,2005,10011,1080000
2015-12-07,695,1580,2005,10011,765000
2015-05-07,695,1581,2005,10011,930000
2015-02-18,695,1628,2005,10011,3760000
2015-04-06,695,1637,2005,10011,1810000
2015-11-23,695,1703,2005,10011,2075000
2015-12-01,695,1714,2005,10011,2787500
2015-01-22,695,1806,2007,10011,8125000
2015-03-09,695,1911,2008,10011,4775000
2015-09-02,695,1915,2008,10011,6500000
2015-01-16,695,2007,2013,10011,11083651
2015-02-17,695,2012,2013,10011,11400000
2015-08-10,695,2013,2013,10011,8502387
2015-08-26,695,2014,2013,10011,9500000
2015-10-26,699,1204,2009,10001,775200
2015-01-23,699,1215,2009,10001,1250000
2015-03-16,699,1230,2009,10001,1800000
2015-02-24,699,1248,2009,10001,1910000
2015-02-12,699,1253,2009,10001,720000
2015-07-07,699,1257,2009,10001,1925000
2015-12-18,699,1282,2009,10001,2700000
2015-01-20,699,1284,2009,10001,2400000
2015-04-28,714,1037,2006,10011,955000
2015-07-30,714,1039,2006,10011,2100000
2015-09-17,714,1058,2006,10011,1350000
2015-05-08,714,1064,2006,10011,3350000
2015-11-24,714,1095,2006,10011,1150000
2015-06-22,714,1113,2006,10011,1900000
2015-08-13,714,1120,2006,10011,1317500
2015-09-18,714,1139,2006,10011,2254000
2015-07-13,714,1152,2006,10011,1900000
2015-05-26,714,1177,2006,10011,3200000
2015-04-30,716,1115,0,10011,2495000
2015-08-13,716,1137,0,10011,3775000
2015-03-25,716,1210,2007,10011,2500000
2015-09-24,716,1307,2007,10011,3900000
2015-02-11,716,1403,2008,10011,3170000
2015-07-28,716,1416,2008,10011,2339500
2015-03-09,716,1417,2008,10011,2395000
2015-06-24,716,1420,2008,10011,4800000
2015-06-24,717,1009,1920,10011,1500000
2015-02-23,717,1019,1920,10011,1425000
2015-09-18,717,1022,1920,10011,1795000
2015-11-12,717,1023,1920,10011,1870000
2015-09-30,717,1031,1920,10011,1780000
2015-09-25,717,1032,1920,10011,3150000
2015-06-17,717,1033,1920,10011,1650000
2015-07-16,717,1110,1989,10011,1809600
2015-10-01,717,1119,1989,10011,314400
2015-05-20,717,1121,1989,10011,825000
2015-10-28,717,1129,1989,10011,580000
2015-08-05,717,1143,1987,10011,660000
2015-12-10,717,1167,1989,10011,670000
2015-11-10,717,1171,1989,10011,780000
2015-06-16,718,1217,1931,10011,2750000
2015-05-21,720,1014,1984,10011,1277000
2015-02-18,720,1105,1900,10011,1620000
2015-01-16,720,1108,1900,10011,930000
2015-11-19,720,1111,1900,10011,1614000
2015-12-15,722,1008,0,10001,2175000
2015-01-06,722,1054,0,10001,1323000
2015-01-07,722,1071,0,10001,1625000
2015-12-18,722,1078,0,10001,1900000
2015-05-04,723,1014,0,10001,2252200
2015-10-22,723,1033,0,10001,3900000
2015-03-30,738,1103,1920,10011,3800000
2015-06-08,738,1314,1960,10014,3000000
2015-08-31,738,1317,1960,10014,3150000
2015-07-15,742,1047,1950,10011,725000
2015-04-30,746,1127,1983,10011,1715000
2015-02-13,746,1305,1920,10011,1795000
2015-05-07,746,1402,0,10011,2275000
2015-07-29,746,1512,1948,10011,500000
2015-03-18,746,1533,1948,10011,505000
2015-07-02,746,1542,1948,10011,499500
2015-09-15,746,1554,1948,10011,530000
2015-06-10,746,1604,1910,10011,3180000
2015-08-26,751,1015,2002,10001,955000
2015-07-01,751,1017,2002,10001,885000
2015-03-13,753,1107,1925,10001,675000
2015-11-12,753,1108,1925,10001,871000
2015-03-13,753,1110,1925,10001,656986
2015-04-30,753,1152,1925,10001,148000
2015-02-12,766,1128,1989,10011,850000
2015-06-01,766,1161,1989,10011,1110000
2015-09-29,766,1186,1989,10011,1000000
2015-02-12,767,1322,0,10011,2500000
2015-09-25,767,1517,1929,10011,7650000
2015-07-30,767,1535,1929,10011,9250000
2015-05-19,767,1536,1929,10011,14000000
2015-04-30,767,1536,1929,10011,13725000
2015-01-15,767,1544,1929,10011,10750000
2015-09-10,767,1546,1929,10011,10414000
2015-02-10,768,1019,1939,10011,990000
2015-01-16,768,1042,1939,10011,865000
2015-08-27,768,1064,1939,10011,1099000
2015-08-07,768,1131,0,10011,1388887
2015-12-01,768,1408,2004,10011,799410
2015-10-01,769,1305,0,10011,2500000
2015-04-23,769,1317,0,10011,1775000
2015-10-07,769,1335,0,10011,3575000
2015-05-19,773,1009,2004,10011,1995000
2015-12-07,773,1016,2004,10011,2417500
2015-10-08,773,1109,1990,10011,4000000
2015-04-23,774,1018,0,10001,1560000
2015-07-13,774,1030,0,10001,1595000
2015-12-02,774,1031,0,10001,3800000
2015-01-20,774,1050,0,10001,2900000
2015-04-16,774,1066,0,10001,4675000
2015-09-11,774,1075,0,10001,2195000
2015-05-21,774,1082,0,10001,1550000
2015-05-15,774,1092,0,10001,4900000
2015-10-06,774,1097,0,10001,1575000
2015-12-17,774,1134,0,10001,1560000
2015-07-31,774,1166,0,10001,2850000
2015-06-18,774,1205,0,10001,2350000
2015-11-11,774,1222,0,10001,4607500
2015-06-26,774,1251,0,10001,1615000
2015-12-18,774,1274,0,10001,2400000
2015-09-09,774,1284,0,10001,7600000
2015-06-12,774,1325,0,10001,2775500
2015-09-16,774,1345,0,10001,3012500
2015-11-30,774,1351,0,10001,5400000
2015-07-17,792,1033,1918,10011,1300000
2015-04-20,793,1030,1899,10011,2000000
2015-02-18,793,1217,0,10011,2673000
2015-06-29,793,1234,0,10011,3112500
2015-06-19,793,1235,0,10011,3575000
2015-08-18,793,1240,0,10011,2750000
2015-01-28,793,1305,0,10011,5600000
2015-01-29,793,1315,0,10011,4450000
2015-06-04,793,1505,2006,10011,3774127
2015-11-13,793,1605,2008,10011,2380000
2015-12-15,793,1610,2008,10011,1850000
2015-07-08,793,1624,2008,10011,3250000
2015-09-30,794,1001,2005,10011,1845000
2015-10-30,794,1016,2005,10011,2150000
2015-12-02,794,1021,2005,10011,1825000
2015-03-13,794,1058,2005,10011,3100000
2015-12-10,794,1108,2006,10011,2455000
2015-02-02,794,1124,2006,10011,1795000
2015-01-15,795,1004,0,10011,2608000
2015-01-06,795,1108,2008,10011,1250000
2015-02-24,795,1117,2008,10011,1155000
2015-02-23,795,1125,2008,10011,1356000
2015-01-30,796,1014,1987,10011,675000
2015-06-25,796,1023,1987,10011,732500
2015-01-13,796,1024,1987,10011,950000
2015-11-17,796,1049,1987,10011,2100000
2015-09-14,796,1213,0,10011,1325000
2015-05-19,796,1327,0,10010,2648000
2015-12-15,796,1334,0,10010,1845000
2015-07-08,797,1626,2006,10011,2035000
2015-04-27,797,1724,1911,10011,850000
2015-09-03,797,1733,1911,10011,2900000
2015-09-02,797,1740,1911,10011,1495000
2015-07-22,797,1744,1911,10011,1475000
2015-03-13,797,1831,2012,10011,1510000
2015-04-20,797,1832,2012,10011,2560000
2015-04-23,797,1839,2012,10011,2650000
2015-11-19,797,1841,2012,10011,1550000
2015-12-10,798,1053,1973,10011,617500
2015-01-30,798,1065,1973,10011,820000
2015-03-20,798,1402,2006,10011,2650000
2015-12-16,798,1406,2006,10011,1735000
2015-04-14,798,1420,2006,10011,325000
2015-01-30,798,1503,2008,10011,990000
2015-04-15,798,1519,2008,10011,2648000
