FULL ADDRESS,FIRST SALE,FIRST PRICE,LAST SALE,LAST PRICE,PRICE CHANGE,PERIOD,DAILY PRICE CHANGE
"310 WEST 52ND   STREET, 12D",2007-02-27,666953,2014-03-17,970000,303047,2575,117.68815533980583
"111 JANE STREET, E",2008-03-24,2750000,2017-06-05,3145000,395000,3360,117.55952380952381
"54 WEST 74TH STREET, 608",2004-12-09,555000,2015-04-13,999000,444000,3777,117.55361397934868
"50 RIVERSIDE BOULEVARD, 8H",2015-11-24,2396887,2017-12-13,2485000,88113,750,117.484
"392 CENTRAL PARK WEST, 5J",2010-09-03,700000,2017-08-31,999999,299999,2554,117.46241190289741
"306 MOTT STREET, 4A",2005-09-30,525000,2008-03-18,630703,105703,900,117.44777777777777
"70 WEST 107 STREET, 4A",2006-06-05,1247356,2014-08-25,1600000,352644,3003,117.43056943056943
"309 WEST 118 STREET, 3D",2005-03-10,375180,2013-10-25,745000,369820,3151,117.3659155823548
"125 WEST 22ND STREET, 1C",2008-05-21,659826,2013-11-15,895000,235174,2004,117.35229540918164
"48 WEST 138 STREET, 4N",2014-06-20,222481,2016-09-28,320000,97519,831,117.35138387484957
"255 CABRINI BOULEVARD, 2J",2004-08-12,20088,2016-03-23,517500,497412,4241,117.28648903560482
"330 EAST 49TH STREET, 10A",2011-06-15,470000,2014-01-08,580000,110000,938,117.27078891257996
"99 JOHN STREET, 718",2010-03-15,420000,2014-05-28,600000,180000,1535,117.26384364820846
"1619 3 AVENUE, 15J",2003-02-20,282147,2011-06-30,640000,357853,3052,117.25196592398427
"325 FIFTH AVENUE, 29E",2007-02-23,1160805,2013-11-25,1450000,289195,2467,117.22537494933117
"372 CENTRAL PARK WEST, 17K",2007-09-06,885000,2014-12-03,1195000,310000,2645,117.2022684310019
"21 SOUTH END AVENUE, 735",2012-02-03,400000,2016-12-30,610000,210000,1792,117.1875
"200 CHAMBERS STREET, 2R",2007-02-05,738231,2016-09-19,1150000,411769,3514,117.17956744450768
"225 EAST 34TH STREET, 7J",2007-10-24,890968,2016-04-27,1255000,364032,3108,117.12741312741312
"251 WEST 123 STREET, 3",2003-02-26,258604,2013-06-24,700000,441396,3771,117.05011933174224
"514 CATHEDRAL PARKWAY, 4B",2005-06-02,460976,2014-11-24,866000,405024,3462,116.99133448873484
"111 CENTRAL PARK NORTH, 11A",2007-11-07,2444100,2017-05-09,2850000,405900,3471,116.94036300777874
"27 WEST 72ND   STREET, 715",2007-05-23,1323725,2010-05-07,1450000,126275,1080,116.92129629629629
"186 WEST 80TH STREET, 4L",2004-08-10,415000,2008-02-14,565000,150000,1283,116.91348402182385
"372 CENTRAL PARK WEST, 9B",2008-03-20,950000,2016-05-31,1300000,350000,2994,116.9004676018704
"400 CENTRAL PARK WEST, 10D",2003-09-16,785000,2014-02-18,1230000,445000,3808,116.85924369747899
"400 EAST 67TH   STREET, 5H",2010-01-08,1200000,2016-09-12,1485000,285000,2439,116.85116851168512
"90 WILLIAM STREET, 4B",2008-07-09,1231064,2015-10-05,1540000,308936,2644,116.84417549167928
"15 BROAD STREET, 2824",2007-01-04,941881,2014-03-26,1250000,308119,2638,116.80022744503411
"216 EAST 47TH   STREET, 5B",2009-12-22,600000,2017-03-30,910000,310000,2655,116.7608286252354
"150 NASSAU STREET, 4D",2003-04-28,310566,2016-11-29,890000,579434,4964,116.72723609991942
"100 RIVERSIDE BOULEVARD, 7A",2009-10-28,909297,2017-10-05,1247500,338203,2899,116.6619523973784
"1641 3 AVENUE, 22E",2003-02-20,138411,2009-07-06,410000,271589,2328,116.66194158075601
"247 WEST 46TH   STREET, 2902",2009-01-16,1452652,2013-07-24,1645000,192348,1650,116.57454545454546
"315 SEVENTH AVENUE, 5D",2007-02-01,682360,2015-02-19,1025000,342640,2940,116.54421768707483
"186 WEST 80 STREET, 7C",2004-01-14,285000,2004-04-26,297000,12000,103,116.50485436893204
"68 BRADHURST AVENUE, 2-U",2007-08-10,455034,2018-01-15,899000,443966,3811,116.49593282602991
"220 RIVERSIDE BOULEVARD, 3H",2005-04-15,1550000,2008-10-24,1700000,150000,1288,116.45962732919254
"350 EAST 62ND STREET, 5E",2009-04-29,455000,2015-09-25,727500,272500,2340,116.45299145299145
"300 WEST 135 STREET, 5S",2005-06-27,361976,2016-11-04,845000,483024,4148,116.44744455159113
"255 EAST 49TH   STREET, 14E",2009-08-10,517500,2011-09-01,605000,87500,752,116.3563829787234
"40 BROAD STREET, 14G",2010-04-13,621132,2016-11-04,900000,278868,2397,116.34042553191489
"201 EAST 36TH   STREET, 2D",2011-03-11,629000,2014-09-29,780000,151000,1298,116.33281972265023
"215 WEST 95TH   STREET, 11D",2009-05-22,505000,2014-01-02,701000,196000,1686,116.2514827995255
"635 WEST 42ND STREET, 30F",2012-01-13,1260000,2016-06-24,1448695,188695,1624,116.19150246305419
"35 NORTH MOORE STREET, 4C",2013-06-20,5250000,2018-03-08,5450000,200000,1722,116.14401858304298
"404 EAST 76 STREET, 3L",2004-05-20,500000,2006-08-16,595000,95000,818,116.13691931540342
"30 EAST 37TH   STREET, 8K",2007-01-10,433992,2009-12-30,560000,126008,1085,116.13640552995392
"812 RIVERSIDE DRIVE, 53",2011-05-31,485000,2013-12-16,593000,108000,930,116.12903225806451
"40 BROAD STREET, 27G",2010-05-17,780000,2015-07-16,999000,219000,1886,116.118769883351
"70 BATTERY PLACE, 10C",2009-01-22,931698,2014-03-17,1150000,218302,1880,116.11808510638298
"300 RECTOR PLACE, 6K",2004-02-03,675000,2008-12-04,880000,205000,1766,116.08154020385051
"150 EAST 86TH STREET, 18B",2009-09-08,4972889,2018-08-01,5350000,377111,3249,116.0698676515851
"301 CATHEDRAL PARKWAY, 8E",2005-01-12,154283,2015-10-14,610000,455717,3927,116.0471097529921
"1623 3 AVENUE, 25C",2003-02-20,276469,2013-08-19,721000,444531,3833,115.97469345160448
"300 WEST 135 STREET, 3M",2006-05-16,159091,2017-11-14,646000,486909,4200,115.93071428571429
"1 IRVING PLACE, G16E",2006-10-05,890000,2017-08-24,1350000,460000,3976,115.69416498993964
"2109 BROADWAY, 15157",2008-11-11,700000,2018-05-01,1100000,400000,3458,115.6737998843262
"1619 3 AVENUE, 8G",2003-02-20,266531,2010-04-28,570000,303469,2624,115.65129573170732
"40 BOND STREET, 4B",2007-07-06,3894806,2012-05-15,4100000,205194,1775,115.60225352112676
"350 WEST 42ND STREET, 12C",2006-05-26,605858,2014-10-06,959000,353142,3055,115.59476268412439
"200 RECTOR PLACE, 22A",2003-06-19,200000,2011-01-18,520000,320000,2770,115.52346570397111
"40 SUTTON PLACE, 4G",2012-09-27,352000,2017-06-07,550000,198000,1714,115.51925320886815
"517 WEST 46TH   STREET, 402",2008-01-31,1025000,2014-08-08,1300000,275000,2381,115.49769004619908
"1641 3 AVENUE, 15J",2003-02-20,249497,2010-11-10,575000,325503,2820,115.42659574468085
"80 ELIZABETH STREET, 6L",2009-04-27,680000,2018-03-20,1055000,375000,3249,115.42012927054478
"400 EAST 90TH STREET, 4H",2010-11-19,650000,2016-05-04,880000,230000,1993,115.4039136979428
"1641 3 AVENUE, 31F",2005-04-26,875000,2013-08-16,1225000,350000,3034,115.35926170072511
"20 PINE STREET, 610",2010-10-29,850000,2013-03-14,950000,100000,867,115.34025374855824
"15 BROAD STREET, 1208",2006-05-22,529490,2010-03-05,689000,159510,1383,115.33622559652929
"247 WEST 46TH   STREET, 2302",2008-11-03,1237173,2014-12-16,1494800,257627,2234,115.32094897045658
"49 EAST 21ST STREET, 2C",2005-02-11,1160805,2011-07-06,1430000,269195,2336,115.23758561643835
"146 WEST 57TH STREET, 66B",2007-06-20,2900000,2013-05-29,3150000,250000,2170,115.2073732718894
"1623 3 AVENUE, 22C",2003-02-20,263337,2017-01-31,850000,586663,5094,115.16745190420102
"230 RIVERSIDE DRIVE, 5L",2006-12-12,999921,2015-11-12,1375000,375079,3257,115.16088424930918
"1400 FIFTH AVENUE, 5C",2004-12-03,327015,2018-06-06,895000,567985,4933,115.13987431583215
"176 MULBERRY STREET, PH",2007-11-29,2862500,2014-12-12,3158333,295833,2570,115.11011673151751
"595 WEST END AVENUE, 1D",2013-10-10,739249,2016-10-07,865000,125751,1093,115.0512351326624
"415-23 EAST 54 STREET, 19 H",2003-01-09,832500,2003-12-01,870000,37500,326,115.03067484662577
"581 ACADEMY STREET, 1D",2003-04-28,65500,2004-05-19,110000,44500,387,114.98708010335918
"106 CENTRAL PARK SOUTH, 21I",2006-11-28,1595000,2018-07-31,2085000,490000,4263,114.94252873563218
"415 MAIN STREET, 10-D",2009-11-03,554946,2014-06-27,750000,195054,1697,114.94048320565705
"39 EAST 29TH STREET, 30C",2008-11-19,2372522,2013-07-17,2568000,195478,1701,114.91945914168136
"311 EAST 38TH   STREET, 24C",2012-12-21,1150000,2017-05-19,1335000,185000,1610,114.90683229813665
"111 FULTON STREET, 320",2009-12-16,481000,2015-11-05,728048,247048,2150,114.9060465116279
"100 UNITED NATIONS PLAZA, 12F",2003-07-08,420000,2017-05-03,1000000,580000,5048,114.89698890649763
"420 WEST 25TH   STREET, 7E",2008-03-04,1654656,2013-08-09,1882500,227844,1984,114.84072580645162
"1619 3 AVENUE, 8A",2003-02-20,479826,2012-06-27,872000,392174,3415,114.83865300146412
"340 EAST 64TH STREET, 8S",2005-05-25,1365000,2015-10-08,1800000,435000,3788,114.83632523759239
"331 EAST 8TH   STREET, 5",2007-05-25,2490000,2014-10-16,2800000,310000,2701,114.77230655312847
"1641 3 AVENUE, 16C",2003-02-20,269015,2017-09-19,880000,610985,5325,114.73896713615024
"1 IRVING PLACE, P18E",2009-09-11,885000,2018-03-02,1240000,355000,3094,114.7382029734971
"30 LITTLE WEST STREET, 26G",2015-08-21,1925000,2017-11-09,2018000,93000,811,114.67324290998766
"300 RECTOR PLACE, 2T",2013-08-19,379000,2017-11-01,555000,176000,1535,114.65798045602605
"200 RECTOR PLACE, 8T",2014-07-11,520000,2017-01-12,625000,105000,916,114.62882096069869
"103 WEST 117TH STREET, 1",2016-12-22,1405000,2017-12-06,1445000,40000,349,114.61318051575931
"2628 BROADWAY, 15A",2008-05-07,2723818,2017-05-03,3100000,376182,3283,114.5848309473043
"342 EAST 110 STREET, 5D",2010-05-13,473800,2017-06-28,772000,298200,2603,114.56012293507492
"2109 BROADWAY, 6-135",2012-02-01,550000,2014-06-23,650000,100000,873,114.5475372279496
"1641 3 AVENUE, 18J",2003-02-20,254819,2011-05-26,600000,345181,3017,114.41199867417964
"1965 BROADWAY, 16G",2004-08-19,992000,2017-09-13,1538000,546000,4773,114.39346323067254
"99 JOHN STREET, 1102",2009-10-22,430950,2014-03-19,615000,184050,1609,114.38781852082039
"121 EAST 23RD   STREET, 11D",2008-07-28,1175000,2016-02-11,1490000,315000,2754,114.37908496732027
"468 WEST 23RD STREET, 4A",2006-03-09,560037,2015-01-16,930000,369963,3235,114.36259659969087
"264 WATER STREET, 4D",2015-05-19,1074253,2017-01-27,1145000,70747,619,114.29240710823909
"420 CENTRAL PARK WEST, 4G",2004-12-17,525000,2016-02-09,990000,465000,4071,114.22254974207812
"235 WEST END AVENUE, 10F",2003-08-28,730000,2018-07-09,1350000,620000,5429,114.20151040707313
"603 WEST 148 STREET, 1B",2013-12-03,385000,2014-07-10,410000,25000,219,114.15525114155251
"415 MAIN STREET, 14-B",2010-07-01,475000,2015-03-06,670000,195000,1709,114.10181392627267
"690 RIVERSIDE DRIVE, 5C",2008-05-28,456300,2015-07-29,755000,298700,2618,114.09472880061115
"18 WEST 48TH STREET, 24D",2010-08-06,957155,2013-06-04,1075000,117845,1033,114.08034849951598
"330 SPRING STREET, 11D",2007-05-16,2392887,2013-07-17,2650000,257113,2254,114.06965394853593
"155 WEST 70TH   STREET, PH2G",2014-08-08,765000,2016-05-27,840000,75000,658,113.98176291793312
"10 WEST END AVENUE, 7A",2007-07-27,1282995,2017-08-02,1700000,417005,3659,113.96693085542498
"200 CHAMBERS STREET, 3P",2007-02-20,824782,2013-08-19,1095000,270218,2372,113.91989881956155
"240 RIVERSIDE BOULEVARD, 4 M",2006-02-22,1030275,2010-03-23,1200000,169725,1490,113.90939597315436
"421 HUDSON STREET, 507",2014-01-08,1985587,2016-07-13,2090000,104413,917,113.86368593238822
"71 NASSAU ST, 3B",2006-05-10,605858,2008-07-01,695000,89142,783,113.84674329501915
"377 RECTOR PLACE, 12G",2005-07-12,492000,2007-08-24,580000,88000,773,113.84217335058214
"315 SEVENTH AVENUE, 9C",2007-03-20,487102,2016-07-18,875000,387898,3408,113.81983568075117
"170 EAST END AVENUE, STUO8",2009-07-01,407300,2014-06-30,615000,207700,1825,113.8082191780822
"425 5 AVENUE, 26F",2004-03-04,610950,2011-02-16,900000,289050,2540,113.7992125984252
"29 WEST 65TH STREET, 2E",2014-02-28,550000,2018-05-17,725000,175000,1539,113.71020142949968
"220 RIVERSIDE BOULEVARD, 6J",2005-06-27,2505000,2018-08-14,3050000,545000,4796,113.63636363636364
"254 PARK AVENUE SOUTH, 4M",2013-06-12,873000,2017-10-31,1055000,182000,1602,113.6079900124844
"1641 3 AVENUE, 16G",2003-02-20,254819,2017-12-18,870000,615181,5415,113.60683287165281
"220 RIVERSIDE BOULEVARD, 31C",2010-09-27,1930000,2018-06-14,2250000,320000,2817,113.59602413915513
"1619 3 AVENUE, 4C",2003-02-20,240979,2014-04-28,705000,464021,4085,113.59143206854345
"308 EAST 72ND STREET, 16C",2004-10-22,1450000,2011-06-09,1725000,275000,2421,113.58942585708385
"16 WARREN STREET, 1",2010-12-02,1934675,2016-08-04,2170000,235325,2072,113.5738416988417
"200 WEST END AVENUE, 8D",2008-01-28,936790,2015-08-18,1250000,313210,2759,113.52301558535702
"342 EAST 110 STREET, PH8E",2009-12-03,470000,2015-08-31,708000,238000,2097,113.49546971864568
"247 WEST 46TH   STREET, 2004",2008-12-10,1058980,2013-04-23,1240000,181020,1595,113.4921630094044
"200 CHAMBERS STREET, 4P",2007-03-29,840056,2013-04-09,1090000,249944,2203,113.4561960962324
"75 WALL STREET, 38F",2009-09-04,1680112,2016-06-06,1960000,279888,2467,113.45277665180382
"425 MAIN STREET, 3C",2007-05-31,511000,2007-09-19,523586,12586,111,113.38738738738739
"350 WEST 42ND STREET, 6G",2006-05-30,850238,2017-02-24,1295000,444762,3923,113.37292888095845
"382 CENTRAL PARK WEST, 15X",2006-02-28,785000,2016-10-14,1225000,440000,3881,113.37284205101778
"140 SUFFOLK STREET, 140-D",2006-02-09,727000,2017-05-31,1195000,468000,4129,113.34463550496488
"82 BEAVER STREET, PH01",2007-04-09,988720,2008-10-01,1050000,61280,541,113.27171903881701
"110 MANHATTAN AVENUE, 46",2004-06-15,718000,2014-11-25,1150000,432000,3815,113.23722149410223
"45 WEST 67TH STREET, 18E",2006-07-14,925000,2018-01-08,1400000,475000,4196,113.20305052430886
"635 WEST 42ND STREET, 37J",2007-11-15,1279076,2016-11-04,1650000,370924,3277,113.1901129081477
"45 PARK AVENUE, 506",2008-02-05,1242265,2017-02-10,1615000,372735,3293,113.19010021257212
"555 WEST 23RD   STREET, S8E",2009-12-11,708000,2018-02-05,1045000,337000,2978,113.16319677635997
"201 WEST 72ND   STREET, 10I",2008-11-18,520000,2012-10-03,680000,160000,1415,113.07420494699646
"305 WEST 18TH STREET, 1C",2009-07-29,395000,2014-07-16,600000,205000,1813,113.07225592939879
"200 RIVERSIDE BOULEVARD, 15N",2005-03-23,1215000,2013-12-10,1575000,360000,3184,113.06532663316582
"184 THOMPSON STREET, 6C",2007-08-22,935000,2018-04-18,1375000,440000,3892,113.0524152106886
"225 EAST 34TH   STREET, 4J",2008-02-06,875695,2016-01-28,1205000,329305,2913,113.04668726398901
"170 EAST 87TH STREET, W18C",2006-05-19,1950000,2014-04-03,2275000,325000,2876,113.00417246175243
"247 WEST 46TH   STREET, 2203",2008-10-22,2005952,2013-11-15,2215000,209048,1850,112.99891891891892
"300 EAST 79TH STREET, 4B",2008-06-13,1909218,2014-04-16,2150000,240782,2133,112.88420065635256
"350 WEST 42ND STREET, 52E",2006-10-24,901151,2012-12-20,1155000,253849,2249,112.87194308581591
"701 MADISON AVENUE, 7D",2004-05-19,348000,2009-05-27,555000,207000,1834,112.8680479825518
"2628 BROADWAY, 15B",2008-04-25,2509986,2013-05-30,2720000,210014,1861,112.85008060182697
"721 FIFTH AVENUE, 54H",2004-10-28,1495000,2010-04-15,1720000,225000,1995,112.78195488721805
"350 WEST 42ND   STREET, 14I",2009-11-16,568000,2015-10-02,810000,242000,2146,112.76794035414726
"80 PARK AVENUE, 18H",2003-06-24,490000,2010-07-09,780000,290000,2572,112.75272161741835
"247 WEST 46TH   STREET, 3601",2008-09-23,1624108,2015-07-21,1905000,280892,2492,112.71749598715891
"100 WEST 58TH STREET, 10E",2009-09-29,800000,2014-06-25,995000,195000,1730,112.71676300578035
"120 RIVERSIDE BOULEVARD, 14H",2006-02-21,857285,2014-06-20,1200000,342715,3041,112.69812561657349
"200 WEST END AVENUE, 4D",2008-06-26,936790,2017-01-25,1290000,353210,3135,112.66666666666667
"170 EAST END AVENUE, 6A",2008-08-15,3049658,2014-09-15,3300000,250342,2222,112.66516651665167
"18 PINE STREET, 2008",2009-11-24,752742,2015-01-21,965000,212258,1884,112.66348195329087
"631 EAST 9TH   STREET, 1A&CA",2013-11-19,760750,2017-07-06,910000,149250,1325,112.64150943396227
"71 NASSAU STREET, 4B",2010-01-21,590000,2017-01-12,877000,287000,2548,112.63736263736264
"123 WASHINGTON STREET, 35G",2012-07-16,1211147,2015-12-01,1350000,138853,1233,112.6139497161395
"300 RECTOR PLACE, 7A",2003-06-09,336000,2008-02-26,530000,194000,1723,112.59431224608241
"145 EAST 48TH STREET, 19F",2005-06-29,756000,2008-05-21,875000,119000,1057,112.58278145695364
"22 WEST 15TH STREET, 4D",2008-07-16,895000,2014-02-18,1125000,230000,2043,112.57953989231522
"257 WEST 117TH STREET, 4G",2008-07-24,646588,2016-04-22,965000,318412,2829,112.55284552845528
"106 CENTRAL PARK SOUTH, 15D",2004-07-07,307500,2007-08-14,435000,127500,1133,112.53309796999118
"200 CHAMBERS STREET, 5K",2007-03-13,850238,2017-10-11,1285000,434762,3865,112.4869340232859
"303 WEST 149 STREET, 5R",2011-04-29,233220,2015-07-31,408000,174780,1554,112.47104247104247
"99 JOHN STREET, 803",2010-12-09,470000,2013-09-27,585000,115000,1023,112.41446725317694
"555 WEST 23 STREET, N5H",2006-02-27,679965,2016-05-23,1100000,420035,3738,112.3689138576779
"467 CENTRAL PARK WEST, 14B",2005-12-19,1275000,2016-03-16,1695000,420000,3740,112.29946524064171
"75 WALL STREET, 33K",2009-05-15,984647,2015-11-03,1250000,265353,2363,112.29496402877697
"1623 3 AVENUE, 8B",2003-02-20,149058,2010-05-10,445000,295942,2636,112.26934749620638
"690 RIVERSIDE DRIVE, 2B",2010-02-19,415740,2015-06-26,635000,219260,1953,112.26830517153098
"100 CENTRAL PARK SOUTH, 3D",2006-03-17,1338998,2015-11-13,1735000,396002,3528,112.24546485260771
"225 EAST 34TH   STREET, 17I",2008-03-14,1013158,2017-10-04,1405000,391842,3491,112.2434832426239
"68 BRADHURST AVENUE, 4-R",2007-06-12,455034,2015-07-01,785000,329966,2941,112.19517171030262
"1619 3 AVENUE, 15D",2003-02-20,256240,2011-07-12,600000,343760,3064,112.19321148825065
"107 AVENUE A, 5F",2006-02-10,677138,2008-02-19,760000,82862,739,112.12719891745603
"225 WEST 83RD   STREET, 11M",2007-04-09,1250000,2011-07-18,1425000,175000,1561,112.10762331838565
"404 EAST 79TH STREET, 22H",2008-09-18,1150000,2014-07-31,1390000,240000,2142,112.04481792717087
"255 HUDSON STREET, 4G",2006-09-28,1033523,2017-07-14,1475000,441477,3942,111.9931506849315
"455 MAIN STREET, 12A",2006-04-19,396474,2014-08-29,738500,342026,3054,111.99279633267845
"515 EAST 72ND   STREET, 25H",2009-01-09,1435732,2016-07-15,1743000,307268,2744,111.97813411078717
"175 EAST BROADWAY, 6C",2014-12-01,2500000,2018-08-02,2650000,150000,1340,111.94029850746269
"425 CENTRAL PARK WEST, 6C",2008-05-21,528982,2018-07-25,945000,416018,3717,111.92305622814098
"99 JOHN STREET, 517",2014-01-30,565000,2017-02-02,688000,123000,1099,111.9199272065514
"1641 3 AVENUE, 24J",2003-02-20,268660,2011-08-25,616500,347840,3108,111.91763191763192
"144 COLUMBUS AVENUE, 8E",2007-04-05,910000,2011-09-27,1093000,183000,1636,111.85819070904645
"392 CENTRAL PARK WEST, 3A",2004-03-25,481650,2014-05-08,895000,413350,3696,111.83712121212122
"300 RECTOR PLACE, 2A",2014-05-30,355000,2015-11-06,413712,58712,525,111.83238095238096
"525 EAST 11TH STREET, 3C",2013-04-04,870000,2017-11-28,1060000,190000,1699,111.83048852266039
"252 SEVENTH AVENUE, 11N",2006-09-12,1180000,2018-05-24,1657500,477500,4272,111.77434456928839
"143 AVENUE B, 3D",2003-03-27,685000,2011-10-06,1033000,348000,3115,111.71749598715891
"505 GREENWICH STREET, 12B",2005-03-24,1659747,2010-12-29,1895000,235253,2106,111.70607787274454
"1600 BROADWAY, 9A",2006-07-19,962246,2014-10-29,1300000,337754,3024,111.69113756613757
"425 5 AVENUE, 25E",2004-01-20,585494,2013-12-20,990000,404506,3622,111.68028713418
"10 WEST END AVENUE, 10F",2007-07-30,799326,2017-05-17,1199000,399674,3579,111.67197541212629
"68 BRADHURST AVENUE, 5-N",2007-06-14,453222,2017-06-05,860000,406778,3644,111.62952799121844
"404 EAST 66 STREET, 7R",2005-04-15,357000,2007-10-25,460000,103000,923,111.59263271939328
"14 PRINCE STREET, 4B",2005-01-19,877500,2012-05-08,1175000,297500,2666,111.59039759939985
"250 EAST 40TH   STREET, 34A",2009-07-15,590000,2017-05-22,910000,320000,2868,111.57601115760112
"200 EAST 32ND STREET, 6C",2006-05-02,995000,2015-07-15,1370000,375000,3361,111.57393632847366
"2148 BROADWAY, 14C",2011-11-01,2520000,2017-05-19,2746000,226000,2026,111.54985192497531
"232-36 EAST 47 STREET, 38A",2003-05-22,740000,2004-03-31,775000,35000,314,111.46496815286625
"10 WEST END AVENUE, 7F",2007-07-16,768778,2016-03-10,1121000,352222,3160,111.4626582278481
"240 RIVERSIDE BOULEVARD, 3 F",2006-02-16,822938,2011-09-16,1050000,227062,2038,111.41413150147203
"247 WEST 46TH STREET, 204",2010-03-15,670000,2014-05-19,840000,170000,1526,111.40235910878113
"77 PARK AVENUE, 5C",2003-03-11,642000,2011-05-19,975000,333000,2991,111.33400200601805
"120 RIVERSIDE BOULEVARD, 4B",2005-11-29,539672,2013-07-19,850000,310328,2789,111.2685550376479
"240 WEST END AVENUE, 4C",2010-03-03,707683,2011-12-13,780000,72317,650,111.25692307692307
"210 WEST 19TH   STREET, 2J",2004-04-19,385000,2016-12-22,900000,515000,4630,111.23110151187905
"156-08 RIVERSIDE DRIVE WEST, 5K",2015-12-08,451230,2017-03-13,502500,51270,461,111.21475054229936
"65 LEONARD STREET, 3",2005-03-30,1695000,2012-10-02,2000000,305000,2743,111.19212541013489
"455 MAIN STREET, 10D",2006-03-16,344760,2014-08-19,687000,342240,3078,111.18908382066277
"455 MAIN STREET, 16C",2006-04-28,733140,2017-03-15,1175000,441860,3974,111.18772018117765
"5 FRANKLIN PLACE, 7A",2016-01-12,3402500,2018-06-07,3500000,97500,877,111.17445838084379
"80 JOHN STREET, 13G",2007-07-31,893514,2015-09-30,1225000,331486,2983,111.12504190412336
"184 THOMPSON STREET, 6S",2007-08-28,850238,2015-04-16,1160000,309762,2788,111.10545193687231
"655 SIXTH AVENUE, 3G",2007-07-16,1476462,2012-12-03,1695000,218538,1967,111.1021860701576
"100 RIVERSIDE BOULEVARD, 5H",2008-02-14,1395002,2014-02-28,1640000,244998,2206,111.05983680870354
"505 GREENWICH STREET, 4C",2008-08-01,1420000,2014-07-02,1660000,240000,2161,111.05969458583989
"1623 3 AVENUE, 25D",2003-02-20,270791,2014-09-15,740000,469209,4225,111.05538461538461
"200 WEST END AVENUE, 16B",2008-08-01,1064071,2015-05-22,1340000,275929,2485,111.03782696177062
"1 IRVING PLACE, V21G",2007-08-23,719000,2014-06-13,995000,276000,2486,111.02172164119067
"421 EAST 13TH   STREET, 6G",2008-04-21,855330,2015-01-30,1130000,274670,2475,110.97777777777777
"555 WEST 59TH STREET, 16D",2008-03-21,1017231,2014-12-15,1290000,272769,2460,110.88170731707316
"415 MAIN STREET, 15-D",2010-02-18,572765,2014-05-22,745000,172235,1554,110.83333333333333
"1965 BROADWAY, 15E",2006-03-03,2275000,2016-09-01,2700000,425000,3835,110.82138200782269
"135 WEST 70TH   STREET, 7H",2010-04-14,1550000,2018-04-25,1875000,325000,2933,110.80804636890555
"400 EAST 70TH STREET, 804",2011-05-03,750000,2018-04-03,1030000,280000,2527,110.80332409972299
"333 EAST 45TH STREET, 21E",2011-07-26,615000,2015-07-09,775000,160000,1444,110.80332409972299
"100 UNITED NATIONS PLAZA, 9B",2005-04-04,1100000,2010-03-16,1300000,200000,1807,110.68068622025457
"247 WEST 46TH   STREET, 1506",2009-06-05,916425,2018-04-19,1275000,358575,3240,110.67129629629629
"200 CHAMBERS STREET, 6I",2007-04-04,646588,2013-07-12,900000,253412,2291,110.61195984286339
"450 EAST 83RD STREET, 7E",2006-06-01,1535000,2010-08-16,1705000,170000,1537,110.60507482108002
"1991 BROADWAY, 23C",2003-06-30,211000,2013-02-05,599000,388000,3508,110.60433295324971
"240 PARK AVENUE SOUTH, 14D",2008-04-10,1328816,2014-05-15,1575000,246184,2226,110.59478885893981
"154 ATTORNEY STREET, 502",2006-12-05,1272812,2018-02-14,1725000,452188,4089,110.58645145512351
"99 JOHN STREET, 2008",2012-06-05,690000,2018-07-27,938000,248000,2243,110.56620597414178
"99 JOHN STREET, 2101",2010-01-12,650000,2018-04-30,985000,335000,3030,110.56105610561056
"117 BEEKMAN STREET, 4B",2003-02-07,430000,2014-04-01,880000,450000,4071,110.5379513633014
"516 WEST 47TH   STREET, S5K",2012-04-16,415000,2016-12-30,605000,190000,1719,110.52937754508436
"220 MANHATTAN AVENUE, 2J",2004-10-21,200000,2016-06-14,670000,470000,4254,110.48425011753643
"143 AVENUE B, 8C",2006-01-27,460000,2013-04-05,750000,290000,2625,110.47619047619048
"630 FIRST AVENUE, 25B",2004-08-17,775000,2012-09-06,1100000,325000,2942,110.46906866077498
"408 EAST 79TH STREET, 7A",2005-12-09,1824334,2007-04-27,1880000,55666,504,110.4484126984127
"120 RIVERSIDE BOULEVARD, 6P",2005-12-16,538124,2015-10-20,935000,396876,3595,110.39666203059805
"1600 BROADWAY, 17B",2006-06-16,896060,2016-06-22,1300000,403940,3659,110.39628313746925
"15 BROAD STREET, 2712",2006-08-02,1243215,2015-06-08,1600000,356785,3232,110.39139851485149
"301 EAST 79TH   STREET, 22C",2010-04-22,650000,2015-04-08,850000,200000,1812,110.37527593818984
"199 BOWERY, 10C",2006-05-08,430950,2008-07-23,520000,89050,807,110.34696406443618
"1619 3 AVENUE, 3B",2003-02-20,124215,2010-06-24,420000,295785,2681,110.32637075718016
"364 WEST 117 STREET, 4A",2005-03-15,129550,2013-11-25,480000,350450,3177,110.30846710733397
"160 WADSWORTH AVENUE, 407",2012-01-04,265000,2017-03-22,475000,210000,1904,110.29411764705883
"112 WEST 72ND STREET, 6G",2004-09-20,549855,2018-05-18,1100000,550145,4988,110.29370489174018
"10 WEST END AVENUE, 11G",2007-08-16,885877,2013-10-22,1135000,249123,2259,110.28021248339974
"200 CHAMBERS STREET, 8B",2007-03-29,1547740,2011-09-19,1728000,180260,1635,110.25076452599389
